"","hhid","pnum","pumsSerialNo","persType","persTypeDetailed","age","gender","industry","schlGrade","educLevel","workPlaceType","workPlaceTaz","workPlaceMaz","schoolType","schoolTaz","schoolMaz","usualCarId","dailyActivityPattern","specEvtParticipant","jointTour1Role","jointTour2role","obPeChauffBund1","obPeChauffBund2","obPeChauffBund3","obRsChauffBund","obPePassBund","obRsPassBund","ibPeChauffBund1","ibPeChauffBund2","ibPeChauffBund3","ibRsChauffBund","ibPePassBund","ibRsPassBund","studentDorm","studentRent","activityString"
"2075425",939693,1,2010000523264,4,13,62,1,0,0,11,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-0-5-5-0-7-0]"
"2075426",939693,2,2010000523264,4,13,61,2,0,0,10,0,0,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-72-8-0-5-5-0-7-0-73-0]"
"2076432",940233,1,2008001413120,2,4,24,2,45,0,10,2,2672,22671,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2076433",940233,2,2008001413120,7,20,5,1,0,2,1,0,0,0,1,2555,22554,-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[0-3-0]"
"2076434",940233,3,2008001413120,8,21,1,1,0,0,0,0,0,0,2,2806,22805,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2076435",940233,4,2008001413120,1,1,26,1,62,0,11,2,2328,22327,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"[0-412-72-15-0]"
"2076436",940234,1,2008001413120,5,15,70,1,0,0,12,0,0,0,0,0,0,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-42-42-9-5-0]"
"2076437",940234,2,2008001413120,4,13,61,2,0,0,14,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-72-0]"
"2076466",940247,1,2009000050688,5,15,75,2,0,0,9,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-73-8-9-0]"
"2077170",940653,1,2011000471552,2,4,28,2,62,0,12,2,2404,22403,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-15-15-15-42-0-8-0]"
"2077171",940653,2,2011000471552,1,1,30,1,92,0,12,2,2402,22401,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
"2080804",942419,1,2009000050688,1,1,52,1,92,0,14,2,2870,22869,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-5-1-0-8-9-0]"
"2080805",942419,2,2009000050688,1,1,49,2,62,0,14,2,2509,22508,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"[0-412-1-5-61-0-42-0]"
"2080806",942419,3,2009000050688,6,18,16,2,0,5,5,0,0,0,1,2725,22724,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[0-3-0]"
"2081275",942582,1,2011000078336,1,1,28,2,81,0,12,2,2942,22941,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-1-0]"
"2081276",942582,2,2011000078336,1,1,31,1,56,0,11,2,2703,22702,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-42-0-61-61-61-72-15-73-0-9-0-8-0]"
"2081946",942922,1,2008000364544,1,1,54,1,62,0,13,2,2726,22725,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-72-0-8-9-15-0]"
"2081947",942922,2,2008000364544,4,13,59,2,0,0,13,0,0,0,0,0,0,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-0]"
"2082556",943267,1,2010000130048,1,1,27,1,54,0,15,2,2872,22871,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2082557",943267,2,2010000130048,2,6,28,1,72,7,15,2,2812,22811,2,2599,22598,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-2-0]"
"2086309",944716,1,2008000233472,1,1,42,1,49,0,11,2,2697,22696,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-15-0]"
"2086310",944716,2,2008000233472,2,7,41,2,72,6,12,2,2820,22819,2,2874,22873,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
"2086841",944944,1,2010001309696,2,6,23,2,45,6,11,2,2875,22874,2,2347,22346,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-1-0]"
