"","uniqueid","jointTripNum","hhid","pnum","userClass","tourNum","tourSubTourNum","personTripNum","tourTripNum","mainTourTripNum","subTourTripNum","jointTourNum","jointTripRole","direction","obBundleNum","ibBundleNum","escortingRole","jointSpecEvtTour","party","origTaz","origMaz","destTaz","destMaz","origPurp","destPurp","mode","prelimDepartInterval","finalDepartMinute","tripDistance","prelimArriveInterval","finalArriveMinute","activityMinutesAtDest","pnrParkTaz","pnrParkMaz","vot","travelTime","hb","tripPurpose"
"365205",1,0,57270,1,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",96,20095,541,20540,0,1,1,18,260.70145,9.84,19,276.65143,666.54004,0,0,13.6809480972632,15.94998,1,"HBW"
"3202147",5,0,369092,2,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",2135,22134,3262,3262,0,1,1,57,844.70233,15.27,59,869.70233,282.49,0,0,18.2917838819893,25,1,"HBW"
"5451317",3,0,597231,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",1479,21478,1483,21482,5,0,4,67,997.72705,4.05,67,1004.66705,431.16998,0,0,16.1199822194631,6.94000000000005,1,"HBNW"
"1848132",5,0,226044,1,3,1,0,5,5,5,0,0,0,2,0,0,0,0,"[ 1 ]",628,20627,625,20624,5,0,1,38,557.3608,2.06,38,562.1808,864.31,0,0,1.31336876661088,4.81999999999994,1,"HBNW"
"1072090",23,0,136755,3,3,2,0,4,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",749,20748,188,20187,0,8,1,52,771.22595,7.07,52,788.66595,187.77997,0,0,12.33148717102,17.4399999999999,1,"HBNW"
"6429082",1,0,694549,1,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",1795,21794,1795,21794,0,1,1,50,731.82043,0.91,50,734.20044,12.619995,0,0,15.5902899334546,2.38000999999997,1,"HBW"
"251110",9,0,41016,2,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 2 ]",410,20409,295,20294,61,0,1,42,622.8591,4.17,43,629.70905,794.71,0,0,7.49671845473789,6.84995000000004,1,"HBNW"
"1153729",3,0,145549,1,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",79,20078,1827,21826,0,42,3,59,865.26324,13.15,60,883.69324,11.909973,0,0,9.53177854014666,18.4299999999999,1,"HBNW"
"7618457",1,0,825121,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2401,22400,2498,22497,0,9,5,31,442.8964,0.6,31,463.8464,200.84998,0,0,0.642468650739784,20.95,1,"HBNW"
"2516343",9,0,301944,2,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",447,20446,253,20252,0,9,1,45,655.8762,2.45,45,662.40625,159.12994,0,0,5.85147839695211,6.53004999999996,1,"HBNW"
"1361720",5,0,171385,1,3,1,0,5,5,5,0,0,0,2,0,0,0,0,"[ 1 ]",770,20769,403,20402,5,9,1,42,622.7224,2.52,43,629.2624,3.5,0,0,33.17630584654,6.53999999999996,0,"NHB"
"280764",5,0,45612,1,3,1,2,5,2,0,2,0,0,2,0,0,0,0,"[ 1 ]",233,20232,356,20355,9,1,2,44,655.0917,1.4,44,659.1617,296.24,0,0,13.4532455941514,4.07000000000005,0,"NHB"
"9053926",11,0,999295,3,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",2534,22533,2537,22536,3,0,4,51,759.77966,1.68,51,763.37964,668.9,0,0,10.0558115794804,3.59997999999996,1,"HBNW"
"1692636",9,0,209044,2,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",285,20284,204,20203,0,1,1,25,352.75845,16.24,27,376.78845,193.45999,0,0,5.90441894237089,24.03,1,"HBW"
"1737764",11,0,214036,3,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 3 ]",1836,21835,329,20328,2,5,5,25,374.83777,15.12,27,483.37778,-73.30002,0,0,14.0602921233176,108.54001,0,"NHB"
"7643091",4,0,827972,1,3,2,1,4,1,0,1,0,0,1,0,0,0,0,"[ 1 ]",3052,23051,3052,23051,1,61,1,47,689.7318,0.36,47,690.7018,68.29004,0,0,8.2613043335982,0.970000000000027,0,"NHB"
"6050287",6,0,656913,1,1,1,0,6,6,6,0,0,0,2,0,0,0,0,"[ 1 ]",168,20167,395,20394,61,5,1,67,997.8764,3.03,67,1002.7964,6.1400146,0,0,8.41770914943352,4.91999999999996,0,"NHB"
"2083380",19,0,251675,4,3,2,0,6,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",284,20283,258,20257,9,42,1,88,1304.0846,7.67,89,1321.3046,3.119995,0,0,96.8929484456845,17.22,0,"NHB"
"3784296",16,0,425349,2,3,3,0,7,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",1078,21077,1085,21084,0,42,2,31,445.0672,3.2,31,455.3572,41.289978,0,0,1.83424248750901,10.29,1,"HBNW"
"9199955",3,0,1016747,1,2,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",3142,23141,2644,22643,1,0,1,59,871.64276,10.52,60,888.4828,535.66,0,0,11.1183738215323,16.84004,1,"HBW"
"1795498",1,0,220591,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",611,20610,93,20092,0,5,4,31,445.69626,5.7,31,454.91626,95.01999,0,0,16.7232520376695,9.22000000000003,1,"HBNW"
"2745125",33,9,325451,5,3,1,0,3,3,3,0,0,0,2,0,2,2,0,"[ 2,5,4 ]",725,20724,703,20702,411,0,4,51,760.231,2.95,52,767.37103,202.95996,0,0,7.33594133382376,7.14003000000002,1,"HBNW"
"582769",19,6,86154,3,3,1,0,2,2,2,0,2,2,2,0,0,0,0,"[ 2,3,4 ]",146,20145,290,20289,6,0,4,60,892.0148,6.5,61,907.12476,517.9,0,0,39.8091867475365,15.10996,1,"HBNW"
"7117241",1,0,770080,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",1993,21992,1985,21984,0,1,1,42,616.45935,5.57,42,629.09937,324.84998,0,0,8.81718524577804,12.64002,1,"HBW"
"415290",2,0,64259,1,2,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",496,20495,371,20370,15,61,1,41,604.3553,11.45,43,626.7353,5.5200195,0,0,55.2749704783689,22.38,0,"NHB"
"6418990",6,2,693555,1,3,2,0,6,1,1,0,1,1,1,0,0,0,0,"[ 1,2,3 ]",1790,21789,1790,21789,0,9,3,64,950.88416,1.92,64,955.1041,151.92004,0,0,5.56422163240559,4.21994000000007,1,"HBNW"
"9301129",11,4,1028168,3,3,2,0,4,2,2,0,2,1,2,0,0,0,0,"[ 3,4 ]",2876,22875,2684,22683,7,0,2,50,749.4337,7.97,51,765.4237,94.97003,0,0,3.68291463782876,15.99,1,"HBNW"
"9762484",2,0,1079721,1,2,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 1 ]",2934,22933,2313,22312,61,1,1,12,176.78403,11.24,14,190.79402,322.93002,0,0,35.9620182249504,14.00999,0,"NHB"
"4977663",3,0,552161,1,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",1374,21373,1374,21373,0,73,1,54,794.1812,1.12,54,796.7312,65.19,0,0,29.9585268254943,2.54999999999995,1,"HBNW"
"4132719",1,0,462365,2,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",1198,21197,724,20723,0,3,17,15,224.64516,6.66,16,240.48515,509.16,0,0,0.369570544586275,15.83999,1,"HBNW"
"4293663",5,0,478762,2,2,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 2 ]",1018,21017,1037,21036,42,15,3,44,658.75574,2.22,44,663.6757,142.09003,0,0,14.1144422951678,4.91996000000006,0,"NHB"
"568898",22,3,84444,3,3,1,0,3,3,3,0,1,2,2,0,0,0,0,"[ 1,3,2 ]",146,20145,391,20390,6,9,4,32,474.8216,7.53,33,489.09158,5.7900085,0,0,1.94265580303316,14.26998,0,"NHB"
"9044046",33,7,997962,5,3,3,0,8,3,3,0,2,2,1,0,0,0,0,"[ 3,4,5 ]",2539,22538,2802,22801,9,5,4,70,1041.7516,2.95,70,1047.9716,44.019897,0,0,7.78356443954095,6.22000000000003,0,"NHB"
"3080206",4,1,358300,3,3,1,0,1,1,1,0,0,0,1,1,0,2,0,"[ 2,3 ]",2113,22112,2104,22103,0,3,4,14,193.56721,8.52,15,209.61722,456.44,0,0,13.9683394460903,16.05001,1,"HBNW"
"2228684",11,0,267291,1,2,2,0,11,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",2160,22159,217,20216,1,9,1,70,1036.8751,15.09,72,1059.6852,12.369995,0,0,15.962718780907,22.8100999999999,0,"NHB"
"5095459",6,0,563680,2,3,1,1,2,1,0,1,0,0,1,0,0,0,0,"[ 2 ]",1248,21247,1070,21069,1,61,1,32,470.8369,1.92,32,474.3869,62.589966,0,0,11.3822519185336,3.55000000000001,0,"NHB"
"8845607",7,0,974589,1,3,3,0,7,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",2594,22593,2579,22578,0,61,1,45,666.887,4.8,45,674.39703,22.869995,0,0,13.8418612170699,7.51003000000003,1,"HBNW"
